[2026-06-04T08:27:00.884Z] GET /socket.io/?EIO=4&transport=polling&t=8ezkhfp4 404 1ms | userId:guest ip:::ffff:127.0.0.1 reqId:unknown
[2026-06-04T08:27:05.905Z] GET /socket.io/?EIO=4&transport=polling&t=8f3fu8gk 404 0ms | userId:guest ip:::ffff:127.0.0.1 reqId:unknown
[2026-06-04T08:27:10.914Z] GET /socket.io/?EIO=4&transport=polling&t=8f7b2qze 404 2ms | userId:guest ip:::ffff:127.0.0.1 reqId:unknown
[2026-06-04T08:27:15.922Z] GET /socket.io/?EIO=4&transport=polling&t=8fb6634w 404 2ms | userId:guest ip:::ffff:127.0.0.1 reqId:unknown
[2026-06-04T08:27:21.148Z] GET /socket.io/?EIO=4&transport=polling&t=8ff7avxc 404 1ms | userId:guest ip:::ffff:127.0.0.1 reqId:unknown
[2026-06-04T08:27:27.142Z] GET /socket.io/?EIO=4&transport=polling&t=8fjtscf0 404 2ms | userId:guest ip:::ffff:127.0.0.1 reqId:unknown
[2026-06-04T08:27:32.156Z] GET /socket.io/?EIO=4&transport=polling&t=8fnp24gr 404 1ms | userId:guest ip:::ffff:127.0.0.1 reqId:unknown
[2026-06-04T08:27:38.141Z] GET /socket.io/?EIO=4&transport=polling&t=8fsbcsia 404 1ms | userId:guest ip:::ffff:127.0.0.1 reqId:unknown
[2026-06-04T08:27:44.139Z] GET /socket.io/?EIO=4&transport=polling&t=8fwxzeem 404 1ms | userId:guest ip:::ffff:127.0.0.1 reqId:unknown
[2026-06-04T08:27:50.134Z] GET /socket.io/?EIO=4&transport=polling&t=8g1kht3d 404 1ms | userId:guest ip:::ffff:127.0.0.1 reqId:unknown
[2026-06-04T08:27:53.710Z] GET /socket.io/?EIO=4&transport=polling&t=8g4bwbr5 404 1ms | userId:guest ip:::ffff:127.0.0.1 reqId:unknown
[2026-06-04T08:27:54.513Z] GET /socket.io/?EIO=4&transport=polling&t=8g4y7uvh 404 0ms | userId:guest ip:::ffff:127.0.0.1 reqId:unknown
[2026-06-04T08:27:56.651Z] GET /socket.io/?EIO=4&transport=polling&t=8g6llgbp 404 1ms | userId:guest ip:::ffff:127.0.0.1 reqId:unknown
